助记符,操作码,操作码（HEX）,指令长度,操作数 i,操作数 j,操作数 k,作用,备注
END,0,0x0,1,-,-,-,程序结束,
NOP,1,0x1,1,-,-,-,空操作,
JMP,2,0x2,3,label,-,-,PC = i;,长跳转
SJMP,3,0x3,2,i8,-,-,PC = PC + i;,短跳转，偏移量
AJMP,4,0x4,2,u8,-,-,PC = (PC & 0xff00) + i;,在地址的256B范围内跳转
SLEEP_X256,5,0x5,2,u8,-,-,Sleep(i * 256);,延时范围0-65280ms（256倍率）
SLEEP,6,0x6,2,u8,-,-,Sleep(i * 1);,延时范围0-255ms
SLEEP_RAND_X256,7,0x7,2,u8,-,-,Sleep(rand()%(i * 256)+1);,随机延时范围1-65281ms（256倍率）
SLEEP_RAND,8,0x8,2,u8,-,-,Sleep(rand()%i+1);,随机延时范围1-256ms
SLEEP_X256_VAL,9,0x9,2,reg,-,-,Sleep(i * 256);,延时的寄存器版本，范围取决于寄存器（256倍率）
SLEEP_VAL,10,0x0A,2,reg,-,-,Sleep(i);,延时的寄存器版本，范围取决于寄存器
SLEEP_RAND_X8_VAL,11,0x0B,2,reg,-,-,Sleep(rand()%(i * 8)+1);,随机延时的寄存器版本，范围取决于寄存器（8倍率）
SLEEP_RAND_VAL,12,0x0C,2,reg,-,-,Sleep(rand()%i+1);,随机延时的寄存器版本，范围取决于寄存器
SLEEP_U16,13,0x0D,3,u16,-,-,Sleep(i);,延时范围1-65536ms
SLEEP_RAND_U16,14,0x0E,3,u16,-,-,Sleep(rand()%i+1);,延时范围1-65536ms
,15,0x0F,1,-,-,-,,
PRESS_SK,16,0x10,2,u8,-,-,键盘 修饰键 i 按下,HID键码
PRESS_GK,17,0x11,2,u8,-,-,键盘 普通键 i 按下,HID键码
PRESS_MK,18,0x12,2,u8,-,-,鼠标 鼠标键 i 按下,HID键码
PRESS_MU,19,0x13,2,u8,-,-,按键 多媒体 i 按下,HID键码
PRESS_SK_VAL,20,0x14,2,reg,-,-,键盘 修饰键 i 按下,HID键码
PRESS_GK_VAL,21,0x15,2,reg,-,-,键盘 普通键 i 按下,HID键码
PRESS_MK_VAL,22,0x16,2,reg,-,-,鼠标 鼠标键 i 按下,HID键码
PRESS_MU_VAL,23,0x17,2,reg,-,-,按键 多媒体 i 按下,HID键码
RELEASE_SK,24,0x18,2,u8,-,-,键盘 修饰键 i 释放,HID键码
RELEASE_GK,25,0x19,2,u8,-,-,键盘 普通键 i 释放,HID键码
RELEASE_MK,26,0x1A,2,u8,-,-,鼠标 鼠标键 i 释放,HID键码
RELEASE_MU,27,0x1B,2,u8,-,-,按键 多媒体 i 释放,HID键码
RELEASE_SK_VAL,28,0x1C,2,reg,-,-,键盘 修饰键 i 释放,HID键码
RELEASE_GK_VAL,29,0x1D,2,reg,-,-,键盘 普通键 i 释放,HID键码
RELEASE_MK_VAL,30,0x1E,2,reg,-,-,鼠标 鼠标键 i 释放,HID键码
RELEASE_MU_VAL,31,0x1F,2,reg,-,-,按键 多媒体 i 释放,HID键码
UPDATE,32,0x20,1,-,-,-,HID数据包强制重传(一般不会使用),
MO_XYZ,33,0x21,3,u8,i8,-,鼠标 光标移动 axis=i data=j,"0: x, 1:y, 2:scroll"
MO_XYZ_VAL,34,0x22,3,u8,reg,-,鼠标 光标移动 axis=i data=j,
GA_XYZ,35,0x23,4,u8,u16,-,joystick axis=i data=j,
GA_XYZ_VAL,36,0x24,3,u8,reg,-,joystick axis=i data=j,
TB_XY,37,0x25,5,i16,i16,-,鼠标 光标定位 x=i y=j,
TB_XY_VAL,38,0x26,3,reg,reg,-,鼠标 光标定位 x=i y=j,
DIAL_DATA,39,0x27,2,u8,-,-,Dial data=i,data:0=release 1=press 2=cw 3=ccw
DIAL_DATA_VAL,40,0x28,2,reg,-,-,Dial data=i,data:0=release 1=press 2=cw 3=ccw
KEY_TO_AXIS,41,0x29,1,-,-,-,joystick axis=reg::val[0] type=reg::val[1],内部使用
,42,0x2A,1,-,-,-,,
,43,0x2B,1,-,-,-,,
PRESS_GAK,44,0x2C,2,u8,-,-,joystick 按键 i 按下,
PRESS_GAK_VAL,45,0x2D,2,reg,-,-,joystick 按键 i 按下,
RELEASE_GAK,46,0x2E,2,u8,-,-,joystick 按键 i 释放,
RELEASE_GAK_VAL,47,0x2F,2,reg,-,-,joystick 按键 i 释放,
C2K,48,0x30,1,-,-,-,print ascii character,内部使用
U2K,49,0x31,1,-,-,-,print unicode character,内部使用
C2K_RAND,50,0x32,1,-,-,-,print random ascii character,内部使用
U2K_REG,51,0x33,1,-,-,-,print value,内部使用，需要循环调用直到输出完毕
PRINT_REG,52,0x34,2,reg,-,-,print value,打印寄存器值，只需要执行一次即可完整输出
,53,0x35,1,-,-,-,,
,54,0x36,1,-,-,-,,
,55,0x37,1,-,-,-,,
,56,0x38,1,-,-,-,,
,57,0x39,1,-,-,-,,
,58,0x3A,1,-,-,-,,
,59,0x3B,1,-,-,-,,
,60,0x3C,1,-,-,-,,
,61,0x3D,1,-,-,-,,
,62,0x3E,1,-,-,-,,
,63,0x3F,1,-,-,-,,
JFA,64,0x40,4,reg,reg,reg,if (i>j)PC=k;,比较两个寄存器的值(无符号数)，根据结果判断是否跳转，目标地址存储于寄存器
JFB,65,0x41,4,reg,reg,reg,if (i<j)PC=k;,比较两个寄存器的值(无符号数)，根据结果判断是否跳转，目标地址存储于寄存器
JFG,66,0x42,4,reg,reg,reg,if (i>j)PC=k;,比较两个寄存器的值(无符号数)，根据结果判断是否跳转，目标地址存储于寄存器
JFL,67,0x43,4,reg,reg,reg,if (i<j)PC=k;,比较两个寄存器的值(无符号数)，根据结果判断是否跳转，目标地址存储于寄存器
JA,68,0x44,5,reg,reg,label,if (i>j)PC=k;,比较两个寄存器的值(有符号数)，根据结果判断是否跳转，目标地址为label
JB,69,0x45,5,reg,reg,label,if (i<j)PC=k;,比较两个寄存器的值(有符号数)，根据结果判断是否跳转，目标地址为label
JG,70,0x46,5,reg,reg,label,if (i>j)PC=k;,比较两个寄存器的值(有符号数)，根据结果判断是否跳转，目标地址为label
JL,71,0x47,5,reg,reg,label,if (i<j)PC=k;,比较两个寄存器的值(有符号数)，根据结果判断是否跳转，目标地址为label
JFC,72,0x48,2,reg,-,-,if (CY) PC = i;,如果CY置位，则跳转。目标地址存储于寄存器
JFNC,73,0x49,2,reg,-,-,if (!CY) PC = i;,如果CY没有置位，则跳转。目标地址存储于寄存器
JFZ,74,0x4A,3,reg,reg,-,if (!i) PC = j;,寄存器为0跳转。目标地址存储于寄存器
JFNZ,75,0x4B,3,reg,-,-,if (i) PC = j;,寄存器不为0跳转。目标地址存储于寄存器
DJFNZ,76,0x4C,3,reg,reg,-,if (--i) PC = j;,寄存器减1并存回，寄存器不为0跳转。目标地址存储于寄存器
CJFNE,77,0x4D,4,reg,reg,reg,if (i != j) {CY = i<j;PC = k},比较两个寄存器并设置CY标识，不相等则跳转。目标地址存储于寄存器
JC,78,0x4E,3,label,-,-,if (CY) PC = i;,如果CY置位，则跳转。目标地址为label
JNC,79,0x4F,3,label,-,-,if (!CY) PC = i;,如果CY没有置位，则跳转。目标地址为label
JZ,80,0x50,4,reg,label,-,if (!i) PC = j;,寄存器为0跳转。目标地址为label
JNZ,81,0x51,4,reg,label,-,if (i) PC = j;,寄存器不为0跳转。目标地址为label
DJNZ,82,0x52,4,reg,label,-,if (--i) PC = j;,寄存器减1并存回，寄存器不为0跳转。目标地址为label
CJNE,83,0x53,5,reg,reg,label,if (i != j) {CY = i<j;PC = k},比较两个寄存器并设置CY标识，不相等则跳转。目标地址为label
CALL,84,0x54,3,label,-,-,PUSH PC;PC=i;,调用子程序，目标地址为label
RET,85,0x55,1,-,-,-,POP PC;,子程序返回
AND,86,0x56,3,reg,reg,-,i=i&j;,
AND8,87,0x57,3,reg,u8,-,i=i&j;,
ADD_A,88,0x58,2,reg,-,-,A = A + i;,
ADD8_A,89,0x59,2,u8,-,-,A = A + i;,
SUB_A,90,0x5A,2,reg,-,-,A = A - i;,
SUB8_A,91,0x5B,2,u8,-,-,A = A - i;,
OR_A,92,0x5C,2,reg,-,-,A = A | i;,
OR8_A,93,0x5D,2,u8,-,-,A = A | i;,
DEC,94,0x5E,2,reg,-,-,i--;,
INC,95,0x5F,2,reg,-,-,i++;,
MUL_A,96,0x60,1,-,-,-,A = A * B;,
DIV_A,97,0x61,1,-,-,-,A = A / B;B = A % B;,
XOR,98,0x62,3,reg,reg,-,i=i^j;,
XOR8,99,0x63,3,reg,u8,-,i=i^j;,
SHL,100,0x64,3,reg,reg,-,i=i<<j;,
SHL8,101,0x65,3,reg,u8,-,i=i<<j;,
SHR,102,0x66,3,reg,reg,-,i=i>>j;,
SHR8,103,0x67,3,reg,u8,-,i=i>>j;,
CLR,104,0x68,2,reg,-,-,i=0;,寄存器清理
